Title,Company,Location,SalaryType,MinSalary,MaxSalary,AvgSalary
Application Database Administrator - DBA,"JPMorgan Chase Bank, N.A.","Columbus, OH+7 locations",unknown,,,
Epic Cache Database Administrator,TekwissenGroup,Remote,hour,85.0,85.0,176800.0
SAP-Business/Systems Analyst,Mastech Digital,+1 locationRemote,hour,70.0,73.0,148720.0
Business Analyst,Dworo.io,"Remote in San Antonio, TX",year,78000.0,98000.0,88000.0
Machine Learning Engineer,X2Logics,Remote,hour,70.0,75.0,150800.0
Business Intelligence Developer – Permanently Remote,Benefit Recovery Group,"Remote in Nashville, TN 37215+2 locations",year,75000.0,85000.0,80000.0
Business Intelligence Developer – Permanently Remote,Benefit Recovery Group,"Remote in Nashville, TN 37215+2 locations",year,75000.0,85000.0,80000.0
Business Intelligence (BI) Developer,Dot Foods Inc.,"Remote in Chesterfield, MO 63005",unknown,,,
Data Engineer (W2 only),Cognoticai,"South San Francisco, CA 94080",hour,85.0,95.0,187200.0
"Data Scientist III Advanced Analytics - Python, ML",Kaiser Permanente,"Oakland, CA",unknown,,,
Data Engineer,Urbane Systems LLC,Remote,hour,70.0,80.0,156000.0
Business Analyst,Excelion Partners,"Oshkosh, WI",hour,42.0,45.0,90480.0
"Director/Sr. Director, Compliance & Data Integrity, Small Molecule Pharmaceutical Science",Genentech,"San Francisco, CA (Mission Bay area)",unknown,,,
"Assistant Manager, Data Integration, Customer Feedback Management",General Motors,Remote,year,91327.0,91327.0,91327.0
Data Science Manager,Southern Company,"Birmingham, AL 35298",unknown,,,
Junior Business Analyst (Remote),Mobile Health,"Remote in New York, NY 10018",year,70000.0,80000.0,75000.0
Senior Oracle Database Administrator- Exdata,Humana,"Remote in Louisville, KY 40202+1 location",unknown,,,
"Director of Engineering, Machine Learning (Mailchimp)",Intuit,"Oakland, CA 94610 (Adams Point area)",unknown,,,
Business Intelligence Developer,Vale Group,"Hybrid remote in New York, NY",year,120000.0,120000.0,120000.0
Business Intelligence Developer - Remote AZ,Blue Cross Blue Shield of Arizona,"Remote in Phoenix, AZ",unknown,,,
Database Specialist,Gate 1 Ltd,Remote,unknown,,,
IT Business Analyst,"Khoj Information Technology, Inc.",Remote,hour,50.0,70.0,124800.0
"Senior Manager, Retail Media Network Data Science",CVS Health,"Remote in Woonsocket, RI 02895+1 location",year,95000.0,209000.0,152000.0
"Director, Data Science – Global Nike Sport Research Lab",Nike,"Beaverton, OR",unknown,,,
Machine Learning Engineer,GfK,"Hybrid remote in New York, NY 10281+1 location",year,130000.0,140000.0,135000.0
Data Science Manager,DISH,"Englewood, CO 80112+1 location",year,87500.0,132000.0,109750.0
Junior SQL Server Database Administrator,Telesis Corporation,"Hybrid remote in Washington, DC 20228",unknown,,,
Senior Business Intelligence Analyst,Cash App,"Remote in New York, NY+1 location",unknown,,,
Engineer - Machine Learning,"Quaychain Technologies, Inc",Remote,unknown,,,
"Director, Data Analytics & Business Insights",theSkimm,"Remote in New York, NY 10003",year,162000.0,180000.0,171000.0
Data Scientist,The New York Times,"New York, NY",year,116000.0,130500.0,123250.0
Database Administrator II,Kaplan,Remote,unknown,,,
Business Intelligence Analyst |ENTRY LEVEL|,PCS Global Tech,"Los Angeles, CA+10 locations",year,98931.0,105918.0,102424.5
Lead Computer Scientist (Data Scientist),Centers for Disease Control and Prevention,"Atlanta, GA 30333",year,117692.0,152998.0,135345.0
Director of Data Engineering (P2413),84.51°,"Remote in Cincinnati, OH 45202",unknown,,,
Data Engineer,MARVEL TECHNOLOGIES INC,Remote,hour,50.0,58.0,112320.0
Data Engineer,Ritwik Infotech,Remote,hour,55.0,65.0,124800.0
Machine Learning Engineer - Platform,Pryon Incorporated,+1 locationRemote,unknown,,,
Machine Learning Engineer,Precision Technology,"Boston, MA 02212 (Central area)",unknown,,,
Director of Data Science & Analytics,ButcherBox,"Boston, MA",unknown,,,
SQL Server/Db2 Database Administrator,Intellibee,Remote,unknown,,,
"Associate Director, Data Science",Chewy,"Minneapolis, MN",unknown,,,
Data Engineer,Del Oro Consulting,Remote,hour,50.0,54.0,108160.0
Database Administrator 2,Los Alamos National Laboratory,"Los Alamos, NM+1 location",year,79200.0,129000.0,104100.0
Data Engineer- Remote EST Hours preferred,Calance US,"Remote in Roanoke, VA+1 location",unknown,,,
"Senior Manager, Data Science",Keurig Dr Pepper,"Burlington, MA",unknown,,,
Machine Learning Engineer,"INVONTO, LLC.","Hybrid remote in Bridgewater, NJ 08807",year,65000.0,80000.0,72500.0
Data Science Engineering Manager,Ask Media Group,"Remote in Oakland, CA",year,145000.0,195000.0,170000.0
Senior SQL Server Database Administrator-(REMOTE),GEICO,"Temporarily Remote in Chevy Chase, MD 20815",unknown,,,
Data Scientist,Premier Inc.,Remote,year,64000.0,118000.0,91000.0
"Information Systems Specialist 7 - Business Intelligence Developer (Telework, Part-Time)",Oregon Youth Authority,"Remote in Salem, OR+1 location",unknown,5885.0,8894.0,7389.5
Business Analyst,Vision,+1 locationRemote,hour,62.0,62.0,128960.0
Data Engineer,Unbound,"San Jose, CA",year,150000.0,180000.0,165000.0
Machine Learning Engineer,ironSource,"San Francisco, CA 94107 (South of Market area)+1 location",unknown,,,
IT Database Administrator - SQL Server,US Cellular,"Hybrid remote in Chicago, IL",year,70000.0,113751.0,91875.5
Data Engineer- Remote EST Hours preferred,Calance US,"Remote in Roanoke, VA+1 location",unknown,,,
Machine Learning Engineer - Computer Vision,CFD Research Corporation,"Huntsville, AL 35806+1 location",unknown,,,
"Manager, Data Engineering",Disney Media & Entertainment Distribution,"Remote in Santa Monica, CA",year,164492.0,220660.0,192576.0
Senior IT Oracle Database Administrator 12,State of Michigan,"Remote in Dimondale, MI+2 locations",year,200000.0,200000.0,200000.0
Entry Level NLP/Data Science Engineer - 333321,I28 Technologies,"Lorain, OH 44052+9 locations",year,60000.0,65000.0,62500.0
"Director, Data Science and Analytics, Digital Americas",Birkenstock USA,"New York, NY",unknown,,,
"Manager, People Data Science",Cardinal Health,West Virginia+33 locations,unknown,,,
URBN Project Manager - Data Science,"URBN Outfitters, Inc.","Philadelphia, PA 19112 (Marconi Plaza-Packer Park area)",unknown,,,
"Senior Manager, Data Analytics",New Relic,"Remote in Atlanta, GA",year,150000.0,188000.0,169000.0
"Director/Sr. Director, Compliance & Data Integrity, Small Molecule Pharmaceutical Science",Genentech,"San Francisco, CA (Mission Bay area)",unknown,,,
Junior Business Analyst,TRESUME,"Jersey City, NJ+18 locations",hour,26.0,32.0,60320.0
Business Intelligence (BI) Engineer/MicroStrategy Developer,Privia Health,Remote,unknown,,,
Data Scientist,Hilton Grand Vacations,"Orlando, FL",unknown,,,
Data Scientist III,RELX,"Raleigh, NC",unknown,,,
Business Analyst,KK Associates,"Bloomfield, CT 06002+1 location",year,100000.0,110000.0,105000.0
Junior Developer – Business Intelligence (ETL),HotFix Squared,"Scottsdale, AZ 85257 (South Scottsdale area)",unknown,,,
Entry Level Business Analyst,Cloudinfraspecs,Remote,year,65000.0,80000.0,72500.0
Lead Data Scientist,CVS Health,Remote in West Virginia+31 locations,year,95000.0,209000.0,152000.0
Assistant Director of Undergraduate Data Science Studies,The University of Chicago,"Chicago, IL 60637 (Woodlawn area)",unknown,,,
Business Intelligence Developer - Tableau,Tista Science and Technology Corporation,+1 locationRemote,unknown,,,
Business Analyst (Remote),"Excelraise, LLC","Remote in Des Moines, IA",hour,33.0,37.0,72800.0
Head of Data Science,Duolingo,"New York, NY",year,195800.0,314100.0,254950.0
Head of Core Experience Machine Learning & Causal Inference Data Science,Discord,"Hybrid remote in San Francisco, CA 94107",year,206000.0,206000.0,206000.0
Database Administrator,Lane Education Service District,"Eugene, OR 97402 (Bethel area)",unknown,,,
Machine Learning Engineer,Ivy Tech Solutions inc,Remote,hour,75.0,75.0,156000.0
Senior Director of Data Science,Healthpilot Technologies LLC,"Nashville, TN 37208 (Germantown area)",unknown,,,
Database Administrator,EXL Services,+2 locationsRemote,year,70000.0,90000.0,80000.0
"Director, Data Science – Retail Banking Strategy",USAA,"Hybrid remote in San Antonio, TX 78288",unknown,,,
"Business Analyst Rotation Program - Richmond, VA",CarMax,"Temporarily Remote in Richmond, VA 23238+1 location",unknown,,,
Business Intelligence Report Developer,Kobie,"Remote in Saint Petersburg, FL 33701",unknown,,,
Director Data Science Global Operations,RELX,North Carolina,unknown,,,
ETL Developer -,CEDENT,"Charlotte, NC",unknown,,,
Business Intelligence Analyst I,Rice University,"Remote in Houston, TX",year,73120.0,98710.0,85915.0
Data Engineer,CGATE Corporation,Remote,hour,60.0,65.0,130000.0
"Director, Data Science: Apollo Team (Remote-Eligible)",Capital One,"Remote in New York, NY 10011",unknown,,,
Machine Learning Engineer,A Place for Mom,Remote,unknown,,,
Machine Learning Research Engineer,Video.io,"Remote in San Francisco, CA",unknown,,,
Head of Data Science,Tessera Therapeutics,"Somerville, MA",unknown,,,
Business Analyst,Technokraftserve,Remote,hour,30.0,40.0,72800.0
Business Analyst IV,Equinox IT Solutions LLC,"Hybrid remote in Salem, OR 97301+1 location",hour,50.0,60.0,114400.0
Data Engineer,AGM Tech Solutions,"Alpharetta, GA 30004+1 location",hour,76.0,84.0,166400.0
MicroStrategy Business Intelligence Developer,Infotrend Inc.,Remote,unknown,,,
Senior Manager/Director of Data Science,Geneoscopy Inc,Remote,unknown,,,
Database Administrator,Vision,+3 locationsRemote,hour,73.0,73.0,151840.0
Data Engineer,ITExpertUS,"Sunnyvale, CA",unknown,,,
Business Intelligence Developer,Volto,Remote,hour,70.0,75.0,150800.0
Business Intelligence Developer,ICF,"Richmond, VA 23219 (Central Office area)",unknown,,,
Ads Data Science Manager,Netflix,"Los Gatos, CA+1 location",unknown,,,
Manager Data Science,Discover,Illinois+15 locations,unknown,,,
Director of Data Science,2U,"Remote in Lanham, MD",year,160000.0,180000.0,170000.0
Database Administrator 1,Commonwealth of PA,"Dauphin County, PA+1 location",year,70651.0,107306.0,88978.5
"Director, Data Science",Major League Baseball,"New York, NY",year,150000.0,225000.0,187500.0
Data Scientist/Data Analyst,ECS Federal,Remote,year,90000.0,100000.0,95000.0
Product Manager (Data Science),ZoomInfo Technologies LLC,"Hybrid remote in Roswell, GA+2 locations",unknown,,,
SAFe Business Analyst,Inscope Global Solutions,Remote,hour,60.0,65.0,130000.0
Data Engineer,"Azurity Pharmaceuticals, Inc.","Remote in Myrtle Point, OR 97458+2 locations",unknown,,,
Data Engineer,Radcube LLC,+1 locationRemote,year,116416.0,130000.0,123208.0
Director of Data Science,Bioindustrial Manufacturing and Design Ecosystem,"Emeryville, CA 94608",unknown,,,
Machine Learning Engineer,Vanguard,"Malvern, PA+1 location",unknown,,,
DATABASE ADMINISTRATOR- SQL SERVER- CLT/REMOTE,Compass Corporate,"Remote in Charlotte, NC 28217",unknown,,,
"Software Engineer, Machine Learning Foundation",Pinterest,+2 locationsRemote,year,155300.0,232900.0,194100.0
Database Administrator,Volto Consulting,+2 locationsRemote,hour,45.0,50.0,98800.0
Dev Ops/Data Engineer,Hippo Education,Remote,year,105000.0,125000.0,115000.0
Database Administrator - Information Technology,Fort Bend County,"Richmond, TX 77469",hour,38.0,47.0,88400.0
Database Administrator,MODIS,"Hybrid remote in Akron, OH+2 locations",unknown,,,
Business Intelligence Developer,Centennial Bank,"Maitland, FL 32751",unknown,,,
Data Scientist,Safeway,"Hybrid remote in Pleasanton, CA 94588",unknown,,,
Database Administration Services (Microsoft SQL Server) WDC,"RLM Communications, Inc.","Washington, DC 20050 (Capitol Hill area)",unknown,,,
"Infrastructure Engineer, Oracle DBA (24 x 7 operations support)",PNC Financial Services Group,"Remote in Pittsburgh, PA 15222+2 locations",unknown,,,
Manager Climate and Data Science,Metropolitan Transportation Authority,"Manhattan, NY+2 locations",unknown,,,
Database Administrator,Niche,"Remote in Pittsburgh, PA 15232",unknown,,,
Senior Business Intelligence Developer,"JPMorgan Chase Bank, N.A.","Plano, TX",unknown,,,
Machine Learning Engineer,Afresh,"Remote in San Francisco, CA",unknown,,,
Water Resources Data Scientist - Snow Hydrology,Lynker Corporation,Remote,unknown,,,
Business Intelligence Developer,PolyCon Solutions,"Washington, DC 20024 (Southwest Federal Center area)",year,94250.0,145000.0,119625.0
Data Engineer,Sunixa Solutions,+6 locationsRemote,hour,20.0,70.0,93600.0
"Associate Director, Data Science",Zenith,"New York, NY 10014 (SoHo area)",year,106500.0,167500.0,137000.0
Senior Data Engineer,Resourznet Consulting,Remote,hour,80.0,85.0,171600.0
PostgreSQL Database Administrator,NIH-NCBI,"Remote in Bethesda, MD+1 location",unknown,,,
Data Engineer with Machine learning Exp.,Albet Technologies LLC,Remote,hour,39.0,70.0,113360.0
Data Scientist / Computational Medical Editing /Machine Learning,Boston Children's Hospital,"Boston, MA 02115 (Mission Hill area)",unknown,,,
Machine Learning Engineer,XO,"Fort Lauderdale, FL 33309",year,150000.0,160000.0,155000.0
Database Administrator,Zynex Medical,"Englewood, CO 80112",year,70000.0,80000.0,75000.0
Machine Learning Engineer,EliseAI,"New York, NY",year,225000.0,350000.0,287500.0
Global Director of Analytics Services,Ortho Clinical Diagnostics,"Remote in Raritan, NJ 08869",year,117000.0,235000.0,176000.0
Director of Data Science,"VIZIO, Inc.","Dallas, TX 75254 (Far North area)",year,225000.0,225000.0,225000.0
Business Analyst,Geniqom Technologies,Remote,year,60000.0,65000.0,62500.0
Data Analytics Manager,Sentry Insurance,"Hybrid remote in Stevens Point, WI 54482",unknown,,,
Sr. Business Analyst,Sunera Technologies,Remote,hour,34.0,60.0,97760.0
Data Analyst,"Rheumatology Consultants, PC",Remote,year,47540.0,110501.0,79020.5
"Sr. Business Analyst, R&D IT",Biogen,"Cambridge, MA",unknown,,,
Director of Data Engineering - NATIONWIDE REMOTE,RSM US LLP,"Remote in Minneapolis, MN 55402",unknown,,,
Global Director of Analytics Services,Ortho Clinical Diagnostics,"Remote in Raritan, NJ 08869",year,117000.0,235000.0,176000.0
GCP Data Engineer,Emonics LLC,+5 locationsRemote,year,100000.0,140000.0,120000.0
Lead Business Analyst,Reignite Software Solutions Inc,Remote,hour,65.0,65.0,135200.0
Data Scientist,Sysco,"Houston, TX",unknown,,,
ML and Image Processing Engineer,Comkardia,Remote,unknown,,,
Jr. Business Operations Analyst,Arch Insurance Group Inc.,"Saint Paul, MN 55101 (Downtown area)",unknown,,,
Data Scientist,Metric5,"Reston, VA",unknown,,,
Data Engineer,3K Technologies,Remote,year,84501.0,190893.0,137697.0
"Director, Data Science",HarperCollins Publishers,"New York, NY 10007 (Financial District area)",year,150000.0,175000.0,162500.0
Jr. Business Analyst,Softnice Inc.,+2 locationsRemote,year,70000.0,80000.0,75000.0
Data Science Manager,Schneider,"Green Bay, WI",unknown,,,
Sr. Business Intelligence Developer (VS171709926),MACRO.CCS,"Hybrid remote in Seattle, WA 98134",hour,65.0,80.0,150800.0
Business Analyst,N1 solutions,"Philadelphia, MS 39350",unknown,,,
Sr Technical Manager-ML/AI/Data Science,SRI International,"Remote in Princeton, NJ 08540",unknown,,,
Business Intelligence Developer,SnappyHires,Remote,year,100000.0,110000.0,105000.0
"Senior Manager, Customer Data Science",Etsy,"Brooklyn, NY 11201",year,176000.0,228000.0,202000.0
Business Intelligence Developer,Umpqua Community College,"Roseburg, OR 97470",hour,40.0,50.0,93600.0
SYSTEMS DATABASE ADMINISTRATOR (DBA),University of Washington,"Seattle, WA 98195 (University District area)",unknown,,,
Business Analyst,Digipath Infotech,Remote,year,85000.0,95000.0,90000.0
Data Scientist,National Security Agency,"Fort Meade, MD",year,74682.0,176300.0,125491.0
Data Scientist,Narvee Technologies pvt ltd,Remote,hour,50.0,55.0,109200.0
Business Systems Analyst,Greystar Real Estate Partners LLC,+2 locationsRemote,unknown,,,
Data Scientist III,GTA (Global Technology Associates),"Englewood, CO",year,80000.0,80000.0,80000.0
Data Engineer,Landis,"New York, NY",year,160000.0,190000.0,175000.0
Business Intelligence Developer/SPOTFIRE,ICON,Remote,unknown,,,
"Engineering Manager I, Data Science",Datadog,"Hybrid remote in New York, NY",unknown,,,
Database Administrator (Direct Hire/Remote),"Connectria, LLC",Remote,unknown,,,
Database Administrator II,DHL,"Westerville, OH 43082+1 location",unknown,,,
"Director, Data Engineering",Etsy,"Brooklyn, NY 11201",year,239000.0,310000.0,274500.0
Database Administrator (DBA),Maximo Global Tech,Remote,unknown,,,
Data Engineer II,Nexintech Inc.,"Playa Vista, CA 90094",hour,60.0,72.0,137280.0
Software Engineer - Machine Learning,"Digital Diagnostics, Inc.",+1 locationRemote,unknown,,,
Jr. Business Analyst,NET2ASPIRE,Remote,year,65000.0,80000.0,72500.0
Microsoft SQL Database Admin,DGN Technologies,"Remote in Sunnyvale, CA 94086",hour,70.0,75.0,150800.0
Data Scientist,Radcube LLC,Remote,year,111648.0,122984.0,117316.0
Data Science Director,Huntington,"Hybrid remote in Columbus, OH 43215",year,175000.0,200000.0,187500.0
Data Scientist,Hireups,Remote,hour,70.0,70.0,145600.0
AI Python Developer - Entry level,Itlize Global LLC,"Piscataway, NJ 08854",year,55000.0,55000.0,55000.0
Data Science (AI/ML),Anblicks,"Dallas, TX 75254 (Far North area)",unknown,,,
Business Analyst,Labatt Food Service,"San Antonio, TX 78218",unknown,,,
Director of Data Analytics and Technology,Thurgood Marshall College Fund,Remote,year,75000.0,91000.0,83000.0
Database Administrator,BMT Group,Remote,unknown,,,
"Manager, Data Science",Scholastic,"New York, NY",year,120000.0,181500.0,150750.0
Machine Learning Engineer,Kitware,+7 locationsRemote,unknown,,,
Data Science Manager,Molson Coors,"Hybrid remote in Milwaukee, WI",unknown,,,
Business Intelligence Developer,Canvas Credit Union,"Hybrid remote in Lone Tree, CO 80124",year,90000.0,110000.0,100000.0
Advance Analytics Data Scientist,Charter Manufacturing,"Hybrid remote in Mequon, WI 53092",year,77770.0,191829.0,134799.5
Business Intelligence Developer,Clampitt Paper Company,"Dallas, TX 75247 (West Dallas area)",year,65000.0,70000.0,67500.0
Senior SQL Database Administrator,"E-Logic, Inc.","Remote in Washington, DC",year,118000.0,147000.0,132500.0
"Tableau/SQL Developer, Business Intelligence",LogixHealth,"Bedford, MA 01730",unknown,,,
Sr. Data Science Manager,Honeywell,"Atlanta, GA 30308 (Midtown area)",unknown,,,
Business Analyst,ESHA Research,"Remote in Salem, OR 97306",unknown,,,
Business Analyst,Prodapt,Remote in Puerto Rico,unknown,,,
Virtual Business Analyst,Work from Home,"Remote in Nashville, TN 37203+1 location",unknown,,,
Database Administrator,Spectrum,"Hybrid remote in Maryland Heights, MO 63043+1 location",unknown,,,
Business Intelligence Developer,FM Systems,Remote,unknown,,,
"Senior Manager, Data Science",Sysco,"Houston, TX",unknown,,,
React Web Developer,[redacted],"Remote in Austin, TX 78731",year,70000.0,80000.0,75000.0
Machine Learning Engineer,Happy Elements,"San Francisco, CA 94111 (Financial District area)",unknown,,,
Database Analyst I,Johns Hopkins University,"Baltimore, MD 21218 (Johns Hopkins Homewood area)",unknown,,,
Data Engineer,Edrstaffing,+1 locationRemote,year,140000.0,170000.0,155000.0
"Senior Software Development Engineer, Big Data",Zillow,"Washington, DC+2 locations",year,160200.0,255800.0,208000.0
Data Scientist,Columbia Sportswear Company,"Portland, OR 97229",unknown,,,
Duck Creek Software Engineer,Robert Half,"Woodbridge, NJ 07095+1 location",unknown,,,
Data engineer,RD Solutions INC,+2 locationsRemote,unknown,,,
Data Science Manager,CKM Analytix,"Remote in New York, NY",unknown,,,
Tableau Developer,Veear Projects inc.,Remote,hour,40.0,77.0,121680.0
Director Data Science (P1560),84.51°,"Remote in Chicago, IL",unknown,,,
Data Engineer,NexWave Talent Management Solutions Pvt Ltd.,"Andes, NY 13731",year,84042.0,190694.0,137368.0
Director of Data Science,RevolutionParts,"Phoenix, AZ 85034 (Camelback East area)",unknown,,,
"Engineer, Machine Learning",Atomic AI,"South San Francisco, CA+1 location",unknown,,,
Research Software Development Engineer/Senior Research Software Development Engineer - Remote,University of Illinois,"Remote in Chicago, IL 60607+1 location",unknown,,,
Data Engineer,Genspark,"Belen, NM 87002+5 locations",year,75000.0,90000.0,82500.0
Business Analyst,Trensyc LLC,Remote,hour,50.0,52.0,106080.0
Data Science Manager,Great American Insurance Company,"Cincinnati, OH 45202 (Central Business District area)",unknown,,,
Machine Learning Infra Engineer,Nextdoor,"Remote in San Francisco, CA+2 locations",unknown,,,
Machine Learning Engineer,"Zing Data, Inc.",Remote,unknown,,,
Business Intelligence Developer - Retail,Black Rifle Coffee,Remote,unknown,,,
Sr Business Analyst,Brilliant Infotech,+2 locationsRemote,hour,50.0,55.0,109200.0
Assistant Database Administrator,Prince George's Community College,"Largo, MD 20774",year,47814.0,52595.0,50204.5
Machine Learning Operations Engineer (Part-Time/Consulting),EcoMetricx,"Remote in Denver, CO+7 locations",hour,70.0,90.0,166400.0
Data Science Manager,WhatsApp,"Menlo Park, CA",unknown,,,
"Director, Analytics: Data Science",Sentara Healthcare,"Virginia Beach, VA 23462 (Northwest area)",unknown,,,
Business Analyst,NAC IT Tech LLC,Remote,unknown,,,
Azure Data Engineer,Tecbeans LLC,Remote,year,84641.0,190766.0,137703.5
Senior Data Scientist - Financial Markets,MTG Services,"Remote in New York, NY",year,110000.0,130000.0,120000.0
Data Science Manager,"Endeavor Operating Company, LLC","Remote in New York, NY",unknown,,,
"Sr. Director, Data Science, Engineering and Analytics",Bloomingdale’s,"Long Island City, NY 11101",year,175665.0,292950.0,234307.5
Business Intelligence Analyst,"Sandhills Global, Inc.","Lincoln, NE 68521 (Highlands area)",unknown,900.0,1300.0,1100.0
Trainee Data Scientist,CaritateTech,Remote,unknown,,,
Vision Algorithm Programmer/Engineer,"Solvis, INC","Knoxville, TN 37921",unknown,,,
Machine Learning Engineer,EliseAI,"New York, NY",year,225000.0,350000.0,287500.0
Staff Database Administrator,DISH,"Englewood, CO 80112",year,106250.0,143450.0,124850.0
Data Scientist I,Early Warning Services,"New York, NY",unknown,,,
Business Intelligence Developer,Stefanini,Remote,hour,55.0,65.0,124800.0
Data Engineer,Quadrant Resource,Remote,unknown,,,
Data Scientist - Computer Vision,Apple,"Cupertino, CA",unknown,,,
Business Analyst,Aviation Structure Repairs,"Little Rock, AR 72201 (Downtown CBD area)",year,47715.0,92787.0,70251.0
Sr. DBA – SQL Server Database Administrator,Zelis,Remote,unknown,,,
Data Engineer,"THE TIRE RACK, INC","South Bend, IN 46628",unknown,,,
Nurse Data Miner,The Marker Group,Remote,hour,30.0,38.0,70720.0
Data Scientist,SAIF,Remote,unknown,8575.0,11450.0,10012.5
Director of Data Science,Redhorse,"Arlington, VA 22209 (North Rosslyn area)",unknown,,,
"Software Engineer, Machine Learning Platform",Zilliz,"Remote in Redwood City, CA",unknown,,,
data engineer,Capgemini,+13 locationsRemote,unknown,,,
AI Python Developer - Entry level,Itlize Global LLC,"Piscataway, NJ 08854",year,55000.0,55000.0,55000.0
Business Intelligence Analyst,Northwell Health,"Lake Success, NY 11020",year,66220.0,108180.0,87200.0
Duck Creek Software Engineer,Robert Half,"Woodbridge, NJ 07095+1 location",unknown,,,
Machine Learning Engineer: Deep Reinforcement Learning,Primordial Labs,+1 locationRemote,unknown,,,
Director of Risk Data Science,BILL,"San Jose, CA",unknown,,,
"Director of Engineering, Machine Learning Platform","Upstart Network, Inc.",+5 locationsRemote,unknown,,,
BI Developer,Advocate Aurora Health,"Remote in Allenton, WI 53002+1 location",unknown,,,
Director of Data Science,Redhorse,"Arlington, VA 22209 (North Rosslyn area)",unknown,,,
Database Administrator,D4C Dental Brands,"Atlanta, GA 30341",hour,70.0,80.0,156000.0
Project Manager - Data Science / Data Analytics,Acunor,Remote,year,100000.0,130000.0,115000.0
Data Engineer,K-TEK RESOURCING,"Jersey City, NJ",hour,70.0,75.0,150800.0
Business Analyst,Serigor Inc.,"Hartford, CT 06105 (Blue Hills area)",hour,43.0,45.0,91520.0
Senior Data Analyst,Convera,Remote,year,100000.0,120000.0,110000.0
Database Analyst,Zora,Remote,hour,80.0,80.0,166400.0
Data Scientist,Tech brothers info services,"Elk Grove, CA",hour,60.0,65.0,130000.0
Data Engineer- Remote EST Hours preferred,Calance US,"Remote in Roanoke, VA+1 location",unknown,,,
Quantitative Business Analyst,Apple,"Austin, TX",unknown,,,
Database DBA with AWS exp.,ANB Sourcing LLC,Remote,hour,40.0,50.0,93600.0
Database Administrator/Developer,Strategic Employment,Remote,year,150000.0,175000.0,162500.0
Full Stack Developer I,Caribou Thunder,"Offutt AFB, NE",unknown,,,
Data Engineer,Data Ninjas Inc.,Remote,hour,65.0,75.0,145600.0
Data Engineer,APT College,"New York, NY 10018 (Garment District area)",year,175000.0,175000.0,175000.0
Business Intelligence Developer,Johns Hopkins University,"Baltimore, MD 21218 (Johns Hopkins Homewood area)+1 location",unknown,,,
Business Analyst,Cloud Shift Technologies LLC,"Columbus, OH+11 locations",hour,60.0,65.0,130000.0
"Data Scientist (AI/ML, AWS)",DSMH LLC,Remote,hour,60.0,65.0,130000.0
Data Science & Analyst Manager PGP,Emory,"Atlanta, GA 30322",unknown,,,
